Performance ID,Activity ID,Activity Type ID,Distance,Calories,Time (minutes),Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Avg Pace (min/km),Best Pace (min/km)
306_AT002,306,AT002,4.89,421.0,29.72,151,165,3.7,156.0,6.07,4.98
307_AT002,307,AT002,4.91,393.0,30.22,142,164,3.4,158.0,6.15,4.62
308_AT002,308,AT002,4.78,382.0,26.28,155,174,3.8,160.0,5.5,4.78
309_AT002,309,AT002,3.03,242.0,16.78,152,168,3.2,159.0,5.55,4.83
310_AT002,310,AT002,4.74,391.0,27.72,149,164,3.6,160.0,5.85,5.13
311_AT002,311,AT002,5.73,562.0,35.62,162,180,5.0,161.0,6.22,4.95
312_AT002,312,AT002,6.2,526.0,35.12,156,181,4.7,159.0,5.67,4.35
313_AT002,313,AT002,3.11,225.0,16.02,147,161,3.0,165.0,5.15,4.72
314_AT002,314,AT002,5.4,403.0,28.52,148,171,3.6,161.0,5.28,4.53
315_AT002,315,AT002,5.4,393.0,28.38,147,167,3.4,163.0,5.25,4.22
316_AT002,316,AT002,5.69,489.0,33.23,155,186,4.2,162.0,5.83,4.65
317_AT003,317,AT003,,237.0,26.17,117,155,2.0,,,
318_AT002,318,AT002,5.01,434.0,29.05,158,171,4.0,157.0,5.8,4.58
319_AT002,319,AT002,6.15,511.0,34.8,154,167,3.9,168.0,5.67,4.78
320_AT003,320,AT003,,269.0,23.45,128,155,2.5,,,
321_AT002,321,AT002,5.24,410.0,27.6,155,176,3.8,165.0,5.27,4.52
322_AT002,322,AT002,4.83,434.0,32.13,145,161,3.2,161.0,6.67,5.25
323_AT002,323,AT002,7.62,646.0,41.92,159,172,4.4,165.0,5.5,4.43
324_AT006,324,AT006,0.0,319.0,20.9,156,172,3.4,99.0,,
325_AT003,325,AT003,,122.0,12.02,118,148,1.4,,,
